Recipient,Token Allocated
4280,30821.64
4301,30722.29
4302,29734.46
4338,32933.54
4339,32933.54
4340,32933.54
4342,32933.54
4367,37330.5
4373,34588.43
4376,32513.43
4403,30835.83
4408,32760.39
4418,30268.12
4463,32493.56
4532,30807.45
4537,29791.23
4568,34341.47
4569,34341.47
4571,34341.47
4576,34341.47
4579,30693.9
4580,30977.76
4619,30835.83
4659,30779.06
4704,31244.59
4723,30821.64
4724,30821.64
4731,28579.16
4732,31077.11
4762,30835.83
4764,30835.83
4787,30835.83
4808,31267.29
4846,30994.79
4910,30126.19
4930,37358.88
4938,32456.66
4960,30109.16
4965,35062.47
4981,30835.83
4988,30722.29
5024,31857.72
5028,32425.43
5033,32669.55
5058,27270.58
5070,30764.87
5074,31221.88
5083,30835.83
5091,35093.7
5113,30779.06
5116,31502.9
5123,30659.84
5139,30821.64
5148,31448.96
5204,36166.68
5217,31539.8
5232,29882.07
5249,30779.06
5253,33924.2
5255,30821.64
5260,30764.87
5261,34270.51
5269,31539.8
5270,31539.8
5283,31230.39
5299,31014.66
5311,32666.71
5322,30779.06
5323,30779.06
5327,31783.92
5357,30779.06
5374,30367.47
5420,34298.9
5421,34298.9
5427,34298.9
5430,34298.9
5443,32669.55
5459,31006.15
5465,37444.04
5498,28811.93
5499,28811.93
5500,28811.93
5528,30821.64
5555,30821.64
5566,32890.96
5570,32890.96
5580,32919.35
5599,30415.72
5600,33782.27
5613,30807.45
5634,37478.1
5652,33347.97
5674,31290
5678,30665.52
5682,32374.34
5691,32947.73
5705,30736.48
5727,31553.99
5728,31553.99
5744,30779.06
5760,30560.49
5764,34040.58
5782,31951.39
5787,32947.73
5811,35630.19
5826,32933.54
5850,35902.69
5862,30779.06
5863,30779.06
5874,30983.44
5881,30756.35
5903,36904.71
5911,30835.83
5913,30779.06
5914,30779.06
5928,30821.64
5932,34384.05
5937,30779.06
5983,31275.81
5987,30750.67
5997,34804.16
6010,37330.5
6034,30835.83
6036,31539.8
6048,32678.07
6049,30821.64
6069,30835.83
6061,30835.83
6068,31483.03
6071,31525.61
6075,31525.61
6080,33447.32
6124,30827.32
6133,34355.67
6136,31542.64
6139,31542.64
6144,32947.73
6149,32476.53
6168,32834.19
6170,32834.19
6181,34355.67
6194,32933.54
6205,30821.64
6208,36757.1
6213,32933.54
6216,32933.54
6217,32933.54
6222,30821.64
6236,31511.41
6239,31511.41
6273,30381.66
6278,30779.06
6291,35502.45
6311,31324.07
6317,30807.45
6356,31985.45
6377,30608.74
6398,34148.45
6409,34545.85
6430,30807.45
6459,30367.47
6465,30339.08
6468,30197.15
6469,30594.55
6475,30779.06
6481,30140.38
6485,30835.83
6505,34534.5
6507,35985.01
6509,31539.8
6516,29913.29
6550,29757.17
6557,30821.64
6560,31483.03
6566,31048.72
6591,31179.3
6593,30886.93
6621,31448.96
6634,31511.41
6647,31928.68
6650,30821.64
6655,32686.58
6658,32686.58
6671,30160.25
6681,31483.03
6682,31483.03
6683,31483.03
6696,31525.61
6701,30253.92
6706,30821.64
6722,30821.64
6728,31483.03
6732,31891.78
6748,27983.06
6752,30807.45
6760,30665.52
6763,30779.06
6783,32933.54
6784,32933.54
6804,30835.83
6807,30821.64
6808,30821.64
6940,31525.61
7024,29004.95
7560,34298.9
7562,34298.9
7565,34298.9
7570,34327.28
7572,34327.28
7574,34327.28
7580,33716.99
7581,33716.99
7584,34083.16
7798,31525.61
7799,31525.61
7803,31525.61
7804,31525.61
7805,31525.61
7812,32890.96
8119,31525.61
8124,31483.03
8126,31483.03
8132,31483.03
8133,31483.03
8136,31483.03
8138,31483.03
8144,31525.61
8156,31483.03
8158,31483.03
8160,31483.03
8477,31483.03
8478,31483.03
8479,31483.03
8486,31511.41
8492,31511.41
8493,31511.41
8495,31511.41
8501,31483.03
8506,31483.03
8514,31483.03
8518,31483.03
8521,31483.03
8525,31483.03
8535,31852.04
8546,30779.06
8553,36683.3
8558,30779.06
8561,30710.93
8778,33765.24
8785,34094.52
8787,34094.52
945,34327.28
949,34327.28
956,31931.52
983,30779.06
988,36141.13
991,33702.79
959,15413.66
8676,15788.34
5813,15816.73
3888,31219.04
3374,14773.55
4106,15510.16
3260,18739.04
